author,published,title,content,language,site_url,main_img_url,type,label
Activist Post,2016-11-01T17:05:20.744+02:00,biggest election fraud in history discovered in the united states,by jack burns wikileaks is helping president obama keep his  campaign promise  to be the most transparent administration in us history  whether he likes,english,activistpost.com,No Image URL,conspiracy,Fake
Activist Post,2016-11-01T18:26:34.819+02:00,dapl protesters proven right as largest gas pipeline in us experiences massive and deadly explosion,by brandon turbeville antifluoridation activists in georgia received a major boost of support when former us ambassador to the united nations under jimmy carter andrew,english,activistpost.com,No Image URL,conspiracy,Fake
Activist Post,2016-11-01T18:26:34.857+02:00,not just hillary entire obama administration exposed for using private email to avoid foia requests,by brandon turbeville in the latest development in the johnson  johnson talcum powder saga a st louis jury has awarded a california woman over,english,activistpost.com,No Image URL,conspiracy,Fake
Activist Post,2016-11-01T18:26:34.928+02:00,former ambassador andrew young calls for end to water fluoridation civil rights issue,by ulson gunnar militants led by designated terrorist organisation jabhat al nusra now obliquely referred to by the western media as jabhat fateh alsham has,english,activistpost.com,No Image URL,conspiracy,Fake
Activist Post,2016-11-01T18:26:34.980+02:00,johnson  johnson loses yet another multimillion dollar case over baby powder,by eric blair we recently moved back to the mainland united states after ten years of traveling and living abroad our homeschooled kids are getting,english,activistpost.com,No Image URL,conspiracy,Fake
Activist Post,2016-11-01T19:21:58.828+02:00,latest assault on aleppo west covers up terrorties,by michael maharrey the federal government ratcheted up its game of chicken with states over real id last month threatening once again to ban residents,english,activistpost.com,No Image URL,conspiracy,Fake
ActivistPost,2016-11-01T19:45:36.456+02:00,obamacare forces companies to drop workers from private insurance,by michael maharrey communications company att spies on you at the behest of the federal government and rakes in millions of taxpayer dollars in the,english,activistpost.com,No Image URL,conspiracy,Fake
ahtribune.com,2016-10-27T03:00:00.000+03:00,executes  iraqi civilians in hammam alalil  in arij village official,"yemeni army forces and allied fighters from popular committees have reportedly launched a locally designed and manufactured ballistic missile towards an area deep inside saudi arabia in response to the riyadh regimes atrocious aerial bombardments against the crisishit arab country  shares
   
yemeni soldiers and their allies fired a borkan volcano missile towards king abdulaziz international airport located  kilometers north of the western saudi port city of jeddah arabiclanguage almasirah television network reported
a military source speaking on condition of anonymity later told the official saba news agency that the meterlong missile had targeted its target accurately and left massive destruction at the airport
saudi media outlets however reported that the kingdoms missile systems intercepted and destroyed the solid propellant and scudtype missile before it could cause any damage
they said the projectile was launched at  pm local time  gmt on thursday from yemens mountainous northwestern area of saada
the saudi military also claimed that the yemeni missile was fired toward the holy city of mecca but the houthi ansarullah movement has rejected the claim
more yemen burns as the world yawns and a nightmare is born decapitation in sanaa wanton murder  saudi arabias genocidal campaign in yemen reaches new height yemens longrange ballistic missile hits deep inside saudi arabias airbase fars news agency quote d an informed houthi source as saying that the missile was aimed at king abdulaziz international airport close to jeddah which hosts the kingdoms royal navy forces as well as a group of american troops
also on thursday the media bureau of the operations command in yemen said army soldiers had targeted a gathering of militiamen loyal to resigned president abd rabbuh mansur hadi in the aqaba district of the northern province of jawf leaving scores of the saudibacked armed men dead
an armored vehicle and battle tank belonging to the mercenaries were also destroyed in the attack
separately a number of saudi soldiers were killed and injured when yemeni forces and popular committees fighters struck alkars base in saudi arabias southwestern border region of jizan
saudi arabia has been engaged in the deadly campaign against yemen since march  in an attempt to bring back the former yemeni government to power and undermine the houthi ansarullah movement
the united nations puts the death toll from the military aggression at about ",english,ahtribune.com,http://ahtribune.com/images/media/ISIS_Hammam_c0a76.jpg,bs,Fake
Tim King,2016-10-28T03:00:00.000+03:00,clintons policies look like a death sentence for americans,great article,english,ahtribune.com,http://ahtribune.com/images/media/Hillary_Clinton_13_4f87e.jpg,bs,Fake
Catherine Shakdam,2016-10-28T03:00:00.000+03:00,yemeni forces fire ballistic missile deep inside saudi arabia at jeddah airport," shares
   
iraqi media outlets reported on thursday that the isis group executed  civilians by electrocution in central mosul
isis militants electrocuted  civilians in almagmoa althaqafiya area in central mosul for collaborating with security forces and kurdish peshmerga fighters al sumaria news stated
al sumaria news added the isis militants were keeping these civilians inside a prison in mosul for nearly four months
yesterday parliamentary human rights committee revealed that the isis executed  civilians in hamam alalil area and  in alarij village south of the city of mosul while called prime minister haider alabadi and the international coalition to continue liberating the isisheld areas in the city
on tuesday the un human rights office said it had preliminary reports about scores of mass killings by isis around mosul in the past week
un human rights spokesman rupert colville told a regular un briefing in geneva that the bodies of  civilians with bullet wounds had been discovered by iraqi security forces in tuloul naser village on october  and  police officers being held outside the city had also reportedly been killed press tv reported
recommended for you isis executes  iraqi civilians in hammam alalil  in arij village official
isis terrorists continued to commit atrocities in the province of nineveh they executed  people in the area of hammam alalil after t
by aht staff muslim iraqi soldiers erect cross on top of the church in newly liberated karamless village near mosul iraqi army troops on saturday stormed into a christian region that has been under isis control since  as part of operations to clear t
by aht staff nouri almaliki the former prime minister of iraq and the head of the alqanoon parliamentary coalition stated in his speech during the
by aht staff us commander john nicholson isis attempting to establish khorasan caliphate in afghanistan",english,ahtribune.com,http://ahtribune.com/images/media/Borkan_79326.jpg,bs,Fake
